,Open,Volume,Market Cap,Close
998,-0.3681890839519366,-0.2922718714399981,-0.3593159787304944,-0.3749172890427445
999,-0.36793577995942833,-0.29118158215017437,-0.3590576958078704,-0.3751940293821462
1000,-0.37038089396514395,-0.2857311353948864,-0.3612245086388246,-0.37560576500906095
1001,-0.37177989363453906,-0.29321578913068125,-0.36245072606979417,-0.37880515332311987
1002,-0.3725866958549519,-0.2955577840987059,-0.3631410915572089,-0.3773573288645426
1003,-0.374545773425509,-0.2942060768818506,-0.36486832831579824,-0.3768882202404348
1004,-0.3748978530843072,-0.2956011981432008,-0.36515242486566246,-0.3784069172249564
1005,-0.37477713622188935,-0.29526271163102513,-0.3650111146239162,-0.37177864860806653
1006,-0.3754904265146183,-0.29081958302284433,-0.3656186849024586,-0.37280461279316557
1007,-0.37260761653032975,-0.29331487021602676,-0.36299102374673,-0.3761896196275548
1008,-0.37156158276143686,-0.29348565909294694,-0.36201472379959504,-0.37615587080567664
1009,-0.3727703090225493,-0.2958187194050226,-0.36306628559742427,-0.3772257084592173
1010,-0.37331969831164413,-0.29505825213566866,-0.3635269266990579,-0.3763549888547583
1011,-0.37417325649589894,-0.2932566485296544,-0.36426380899949734,-0.37445830506520017
1012,-0.374133133916933,-0.2868859072336237,-0.3641957935826325,-0.3751332815027653
1013,-0.37308266893951963,-0.2857103037507235,-0.36321560581057233,-0.37357746081417764
1014,-0.3729985296892516,-0.28643332671533667,-0.3631060485300848,-0.37101255035143
1015,-0.37210256618224763,-0.28774544467839624,-0.36226359719760515,-0.36582535642874175
1016,-0.3702161872872333,-0.28607652674239553,-0.36052869637085655,-0.36820127348897114
1017,-0.36675705163720806,-0.28533064661955376,-0.3573737240530202,-0.3657376094918583
1018,-0.36607832477093766,-0.2851482780036107,-0.3567289380924243,-0.36275758852000817
1019,-0.36467183233077194,-0.2832439620292032,-0.355429481627419,-0.36071578479637356
1020,-0.36244516347720457,-0.28345987350259616,-0.35338660736291994,-0.36124901618205
1021,-0.3602698160750455,-0.28742356049107803,-0.35138759745524406,-0.3557243340405791
1022,-0.35938301039898346,-0.28236408905483973,-0.3505540870042754,-0.35517085336177573
1023,-0.35617148530991316,-0.2806188593380999,-0.3476179757975727,-0.3555252159914974
1024,-0.35437569105937833,-0.28056067727198847,-0.3459643717969866,-0.36126589059298914
1025,-0.35359673831312055,-0.280555962748038,-0.3452302296240774,-0.35984506519191445
1026,-0.356187383948968,-0.283783882828839,-0.3475458206999654,-0.3599834353616153
1027,-0.35679341213969545,-0.28482738087757636,-0.34806715427147483,-0.35741515001667984
1028,-0.3571751674676753,-0.28702996879928855,-0.34838205852627113,-0.3572902793757303
1029,-0.3559534161390939,-0.29178624331752323,-0.3472453933725864,-0.35695954092132337
1030,-0.355410660234875,-0.29211149723674606,-0.34672232709681555,-0.3555420904024365
1031,-0.354991387341423,-0.29086002267673405,-0.34631272346072317,-0.3564128100068956
1032,-0.3540107474679667,-0.287624686716654,-0.34539485406318154,-0.3601690538819457
1033,-0.3539767480135015,-0.28597096257652344,-0.3453331908325926,-0.36095877631389695
1034,-0.35589368881940153,-0.2804576849778385,-0.3470382467450015,-0.3645732751370584
1035,-0.35720739443873234,-0.2794567680868059,-0.34819911556152516,-0.3680730279658338
1036,-0.3597762331574978,-0.2707461710297388,-0.3504962000169205,-0.36566336208372613
1037,-0.362823749819697,-0.2745233901407853,-0.3532279573263659,-0.3634325649575733
1038,-0.36310428560274854,-0.2774244324458709,-0.3534521026275885,-0.3635506858341472
1039,-0.36209899209643354,-0.2817343459654787,-0.3525093696412059,-0.36325032131943064
1040,-0.3616905689499041,-0.28394440173217456,-0.3521075767234954,-0.3624842230627942
1041,-0.3613251956655449,-0.2830629212662089,-0.35174288631212314,-0.36094527678514565
1042,-0.3607100364996845,-0.2839043582808944,-0.3511523035490494,-0.3643437831482863
1043,-0.35963650238215633,-0.2809450081584344,-0.3501446555227923,-0.36352031189445677
1044,-0.36079785499581496,-0.282781032583913,-0.35116821191016195,-0.3627170899337542
1045,-0.36094996629920423,-0.27984420169905005,-0.3512762580557462,-0.362585469528429
1046,-0.3606586076250394,-0.2835862739062846,-0.3509805857024352,-0.36252472164904814
1047,-0.36042622430790894,-0.28575012067746813,-0.35073710010608444,-0.36130638917924307
1048,-0.3601392968422645,-0.2834774313073701,-0.35044371358341825,-0.3650423837611662
1049,-0.3595419967895315,-0.2783966995816818,-0.34986967679112085,-0.36474201924644967
1050,-0.36118970810805934,-0.28443055898610553,-0.3513381285094759,-0.36362493324227935
1051,-0.3618042495903077,-0.28971334083591876,-0.3518683280433608,-0.36377342805854374
1052,-0.3615958753666148,-0.2894985941407773,-0.35164931390590787,-0.36216023437276296
1053,-0.36154447334777884,-0.2884025963752391,-0.3515726987287021,-0.3621771087837021
1054,-0.3606549015233678,-0.2888388579396654,-0.35073225586666346,-0.3627339643446934
1055,-0.36016677033509065,-0.2878150124016725,-0.3502562547482282,-0.3624673486518551
1056,-0.36025456197541184,-0.29023457120810325,-0.35030604249882835,-0.3622108576055803
1057,-0.360135483317356,-0.292830933132226,-0.35016780872371006,-0.359234211515918
1058,-0.3599451293416458,-0.2892274172841067,-0.3499620600553131,-0.3600880567094379
1059,-0.3584085205058372,-0.2879455350351205,-0.3485300317890043,-0.3626900908762516
1060,-0.3580265503313837,-0.28604622614296726,-0.3481472778958558,-0.36326382084818204
