Date,Close,Volume,Close off high,Volatility
2013-04-28,134.21,25801388.321168,-0.08762886597938979,0.028677014042867665
2013-04-29,144.54,25801388.321168,-0.5626389918458095,0.1003421600714074
2013-04-30,139.0,25801388.321168,0.2313664596273306,0.08944444444444441
2013-05-01,116.99,25801388.321168,0.4236866645943427,0.23143884892086322
2013-05-02,105.21,25801388.321168,0.22388955582232928,0.2863034885719195
2013-05-03,97.75,25801388.321168,-0.28487771271098894,0.2732235294117647
2013-05-04,112.5,25801388.321168,-0.7777777777777778,0.22935779816513763
2013-05-05,115.91,25801388.321168,-0.5042881646655228,0.10327723649247118
2013-05-06,112.3,25801388.321168,0.3718091009988904,0.15537161579582684
2013-05-07,111.5,25801388.321168,-0.753494282083863,0.14022271714922044
2013-05-08,113.57,25801388.321168,-0.28478964401294316,0.05638686131386868
2013-05-09,112.67,25801388.321168,-0.6238095238095266,0.03710247349823311
2013-05-10,117.2,25801388.321168,-0.08133971291866104,0.09264184397163124
2013-05-11,115.24,25801388.321168,0.21340388007055067,0.04817332200509772
2013-05-12,115.0,25801388.321168,0.22194513715710706,0.03467658249740579
2013-05-13,117.98,25801388.321168,-0.6571428571428579,0.036578993206758434
2013-05-14,111.5,25801388.321168,0.738219895287958,0.08094592303780299
2013-05-15,114.22,25801388.321168,-0.7416734362307063,0.11050269299820469
2013-05-16,118.76,25801388.321168,-1.0,0.057433023988793575
2013-05-17,123.02,25801388.321168,-0.4776632302405498,0.07385161999830814
2013-05-18,123.5,25801388.321168,0.18644067796610053,0.023886639676113382
2013-05-19,121.99,25801388.321168,0.018255578093306912,0.04001298595893196
2013-05-20,122.0,25801388.321168,-0.07428571428571173,0.02857142857142857
2013-05-21,122.88,25801388.321168,-0.8659217877094926,0.0146697262743813
2013-05-22,123.89,25801388.321168,-0.8900000000000006,0.016274717226788183
2013-05-23,126.7,25801388.321168,-0.8798955613577006,0.030936995153473444
2013-05-24,133.2,25801388.321168,-0.8400984009840083,0.06437054631828976
2013-05-25,131.98,25801388.321168,-0.4259259259259208,0.03245679939894811
2013-05-26,133.48,25801388.321168,-0.06319702602230026,0.04076066368664289
2013-05-27,129.75,25801388.321168,0.062209842154131945,0.08067415730337076
2013-05-28,129.0,25801388.321168,-0.36546184738955556,0.03837558757802279
2013-05-29,132.3,25801388.321168,-0.882352941176474,0.03821705426356595
2013-05-30,128.8,25801388.321168,0.31428571428571006,0.03969754253308128
2013-05-31,129.0,25801388.321168,-0.48571428571428243,0.02717391304347826
2013-06-01,129.3,25801388.321168,-0.6279069767441937,0.02002950081515409
2013-06-02,122.29,25801388.321168,-0.00905923344947801,0.11098221191028622
2013-06-03,122.22,25801388.321168,-0.9138461538461535,0.053061224489795916
2013-06-04,121.42,25801388.321168,0.021097046413500964,0.03925790955772743
2013-06-05,121.65,25801388.321168,0.019607843137253056,0.0294069192751235
2013-06-06,118.0,25801388.321168,0.7435897435897434,0.047990155865463444
2013-06-07,111.5,25801388.321168,0.19236883942766303,0.10574094309489786
2013-06-08,108.3,25801388.321168,0.5145631067961169,0.03711711711711716
2013-06-09,100.0,25801388.321168,-0.1224987798926308,0.1899156548336268
2013-06-10,106.35,25801388.321168,-0.5033112582781455,0.15033851055356426
2013-06-11,108.9,25801388.321168,-0.7500000000000038,0.05265632346027263
2013-06-12,108.15,25801388.321168,0.43873517786561234,0.046422018348623875
2013-06-13,104.0,25801388.321168,0.2896622313203685,0.08981430410001835
2013-06-14,99.98,25801388.321168,0.408955223880596,0.06445406445406449
2013-06-15,99.99,25801388.321168,0.30175438596491433,0.05700000000000003
2013-06-16,99.51,25801388.321168,0.5773584905660347,0.026553106212424765
2013-06-17,101.7,25801388.321168,-0.6822429906542107,0.03213213213213207
2013-06-18,107.4,25801388.321168,-0.26388888888888995,0.09887199607650807
2013-06-19,108.25,25801388.321168,-0.11856823266219263,0.04175618869687061
2013-06-20,110.15,25801388.321168,0.22058823529411575,0.06281755196304847
2013-06-21,109.5,25801388.321168,0.5041095890410952,0.06559439302722614
2013-06-22,108.3,25801388.321168,0.3551020408163301,0.022374429223744188
2013-06-23,107.6,25801388.321168,-0.06614785992217431,0.023752310536044298
2013-06-24,102.74,25801388.321168,0.5210884353741518,0.06811862835959216
